desviations_matrix_abs,subj,cond
0.12459964699317,CRES6,CONTROL
0.120846891179787,CRES6,CONTROL
0.046185353837683,CRES6,CONTROL
0.131641557838187,CRES6,CONTROL
0.02080278847198,CRES6,CONTROL
0.0991329738800191,CRES6,CONTROL
0.029633908580127,CRES6,CONTROL
0.102929361188513,CRES6,CONTROL
0.0478600039443662,CRES6,CONTROL
0.124973626136052,CRES6,CONTROL
0.199468318740448,CRES6,CONTROL
0.188487512967904,CRES6,CONTROL
0.246529153870335,CRES6,CONTROL
0.265093867812763,CRES6,CONTROL
0.037812051653642,CRES6,CONTROL
0.099812666822467,CRES6,CONTROL
0.058717426906317,CRES6,CONTROL
0.00857889401674899,CRES7,CONTROL
0.003146416628243,CRES7,CONTROL
0.029552019233755,CRES7,CONTROL
0.00683507112479598,CRES7,CONTROL
0.033636389922027,CRES7,CONTROL
0.015199029283525,CRES7,CONTROL
0.027698732808688,CRES7,CONTROL
0.033068603104151,CRES7,CONTROL
0.00829485488659198,CRES7,CONTROL
0.017497377817765,CRES7,CONTROL
0.036365061673279,CRES7,CONTROL
0.01863859939045,CRES7,CONTROL
0.023074779060689,CRES7,CONTROL
0.026285532840637,CRES7,CONTROL
0.0373944548461291,CRES7,CONTROL
0.017894342780733,CRES7,CONTROL
0.00681266239563505,CRES7,CONTROL
0.00371613170368501,CRES7,CONTROL
0.026555053160583,CRES7,CONTROL
0.089319570336856,CRES7,CONTROL
0.019746605197676,CRES7,CONTROL
0.043028010916898,CRES7,CONTROL
0.00377966847528499,CRES7,CONTROL
0.0147639263427639,CRES7,CONTROL
0.03567855088219,CRES7,CONTROL
0.0258888998737341,CRES7,CONTROL
0.00661907549980201,CRES7,CONTROL
0.050382715572746,CRES7,CONTROL
0.016878253050685,CRES7,CONTROL
0.0879461826522203,CRES7,CONTROL
0.052283527809119,CRES7,CONTROL
0.017269871670173,CRES7,CONTROL
0.049913448770576,CRES7,CONTROL
0.00785366297399563,CRES7,CONTROL
0.042152562938963,CRES7,CONTROL
0.0207016849124569,CRES7,CONTROL
0.0289079588987631,CRES7,CONTROL
0.0555863499371291,CRES7,CONTROL
0.00458564524748395,CRES7,CONTROL
0.00534415065137001,CRES7,CONTROL
0.032446568763519,CRES7,CONTROL
0.019729508131815,CRES7,CONTROL
0.0094662585728022,CRES7,CONTROL
0.046813026457542,CRES7,CONTROL
0.00367805032959601,CRES7,CONTROL
0.018544556751363,CRES7,CONTROL
0.0374989159654607,CRES7,CONTROL
0.021988298213603,CRES7,CONTROL
0.017297634044094,CRES7,CONTROL
0.020082516166479,CRES7,CONTROL
0.00117135257044898,CRES7,CONTROL
0.017282084323766,CRES7,CONTROL
0.0208281985329211,CRES7,CONTROL
0.00499194327494196,CRES7,CONTROL
0.033136518901708,CRES7,CONTROL
0.04471008356218,CRES8,CONTROL
0.060378581560849,CRES8,CONTROL
