Correlation of SP -absolutevalue),inter condition
0.861361997319351,UWS-SLEEP
0.874514043708906,UWS-SLEEP
0.862533896519981,UWS-SLEEP
0.880643937862656,UWS-SLEEP
0.815875529093274,UWS-SLEEP
0.856451046238537,UWS-SLEEP
0.534512130555832,UWS-SLEEP
0.427398341806571,UWS-SLEEP
0.463478040360828,UWS-SLEEP
0.885837650337161,UWS-SLEEP
0.906200394096137,UWS-SLEEP
0.899749975559182,UWS-SLEEP
0.913143698749201,UWS-SLEEP
0.878684958468989,UWS-SLEEP
0.866570798121776,UWS-SLEEP
0.886844941193282,UWS-SLEEP
0.692017595035929,UWS-SLEEP
0.600655898877429,UWS-SLEEP
0.620881723634001,UWS-SLEEP
0.829501769997629,UWS-SLEEP
0.847309802045429,UWS-SLEEP
0.850795940919634,UWS-SLEEP
0.824729975632561,UWS-SLEEP
0.84489292626821,UWS-SLEEP
0.774994293722283,UWS-SLEEP
0.829593212697245,UWS-SLEEP
0.539070351326536,UWS-SLEEP
0.485120773411875,UWS-SLEEP
0.485609044510272,UWS-SLEEP
0.77461375733671,UWS-SLEEP
0.785058215036321,UWS-SLEEP
0.781698694112061,UWS-SLEEP
0.777515577862386,UWS-SLEEP
0.758189144159873,UWS-SLEEP
0.763815758997605,UWS-SLEEP
0.774730311114739,UWS-SLEEP
0.59963180411406,UWS-SLEEP
0.465631197319726,UWS-SLEEP
0.494044750361678,UWS-SLEEP
0.876042245082055,UWS-SLEEP
0.889989812612604,UWS-SLEEP
0.890352259256456,UWS-SLEEP
0.886654825446046,UWS-SLEEP
0.894678489421263,UWS-SLEEP
0.871162484888331,UWS-SLEEP
0.863524039134882,UWS-SLEEP
0.572245258279315,UWS-SLEEP
0.517875845767997,UWS-SLEEP
0.538475317482901,UWS-SLEEP
0.881778522594649,UWS-SLEEP
0.897087512209565,UWS-SLEEP
0.903118374515783,UWS-SLEEP
0.865527777621921,UWS-SLEEP
0.875793487510605,UWS-SLEEP
0.817838457399465,UWS-SLEEP
0.886106615655278,UWS-SLEEP
0.682567992150096,UWS-SLEEP
0.619222159861482,UWS-SLEEP
0.642558791719068,UWS-SLEEP
0.881778522594649,UWS-SLEEP
0.897087512209565,UWS-SLEEP
0.903118374515783,UWS-SLEEP
0.865527777621921,UWS-SLEEP
0.875793487510605,UWS-SLEEP
0.817838457399465,UWS-SLEEP
0.886106615655278,UWS-SLEEP
0.682567992150096,UWS-SLEEP
0.619222159861482,UWS-SLEEP
0.642558791719068,UWS-SLEEP
0.779614735506447,UWS-SLEEP
0.82914995678155,UWS-SLEEP
0.858091401028622,UWS-SLEEP
0.796228457081854,UWS-SLEEP
0.831706105290309,UWS-SLEEP
0.759606141537416,UWS-SLEEP
0.857315659523875,UWS-SLEEP
0.649998282065717,UWS-SLEEP
0.558948835411096,UWS-SLEEP
0.626371054513094,UWS-SLEEP
0.841595459273516,UWS-SLEEP
0.876874812205198,UWS-SLEEP
0.891926370144917,UWS-SLEEP
0.86157055494272,UWS-SLEEP
0.880115954237273,UWS-SLEEP
0.826293058732859,UWS-SLEEP
0.893008609039034,UWS-SLEEP
0.582081417633129,UWS-SLEEP
0.494808272532043,UWS-SLEEP
0.513302751827378,UWS-SLEEP
0.84351786646674,UWS-SLEEP
0.892792953995146,UWS-SLEEP
0.882950436947357,UWS-SLEEP
0.89102041312565,UWS-SLEEP
0.884998019273981,UWS-SLEEP
0.858157930658574,UWS-SLEEP
0.896635400113063,UWS-SLEEP
0.574507841354482,UWS-SLEEP
0.519596622599239,UWS-SLEEP
0.542621059528332,UWS-SLEEP
0.594860843020011,UWS-SLEEP
0.685845103721984,UWS-SLEEP
0.669261048478194,UWS-SLEEP
0.665294379683225,UWS-SLEEP
0.655293140009476,UWS-SLEEP
0.615974593889909,UWS-SLEEP
0.645447684462542,UWS-SLEEP
0.386022628925065,UWS-SLEEP
0.385223881623999,UWS-SLEEP
0.378792032525924,UWS-SLEEP
0.420359787577256,UWS-SLEEP
0.431829682297632,UWS-SLEEP
0.422258900067975,UWS-SLEEP
0.400017127479702,UWS-SLEEP
0.426261254675043,UWS-SLEEP
0.448770877062291,UWS-SLEEP
0.443098972996707,UWS-SLEEP
0.346362624406872,UWS-SLEEP
0.267053323384016,UWS-SLEEP
0.228567327422019,UWS-SLEEP
0.584512692357513,UWS-SLEEP
0.624555167193722,UWS-SLEEP
0.601381274352606,UWS-SLEEP
0.615253081607957,UWS-SLEEP
0.575061840741001,UWS-SLEEP
0.547364844672597,UWS-SLEEP
0.596094922315688,UWS-SLEEP
0.461878399409547,UWS-SLEEP
0.411087138744881,UWS-SLEEP
0.379563236228237,UWS-SLEEP
