sp_corrmatrix,subj,cond
0.368357274458606,C2,CONTROL
0.257686261978248,C2,CONTROL
0.189812107605965,C2,CONTROL
0.202710565277678,C2,CONTROL
-0.139605677906065,C2,CONTROL
-0.13531422663719,C2,CONTROL
-0.504378970828708,C2,CONTROL
-0.466781357871885,C2,CONTROL
-0.515200223656554,C2,CONTROL
0.248793585672607,C2,CONTROL
-0.537241784389378,C2,CONTROL
-0.0362923603002172,C2,CONTROL
0.666775908374642,C2,CONTROL
-0.661918909363019,C2,CONTROL
-0.243963211594029,C2,CONTROL
0.236573135946635,C2,CONTROL
-0.18133031668711,C2,CONTROL
-0.0794281551907892,C2,CONTROL
-0.569565898877559,C2,CONTROL
-0.174369964302914,C2,CONTROL
-0.196591185441796,C2,CONTROL
-0.420454270929556,C2,CONTROL
-0.150941516844814,C2,CONTROL
0.195488091463998,C2,CONTROL
0.16729522999444,C2,CONTROL
-0.628001935509316,C2,CONTROL
0.768884891557923,C2,CONTROL
-0.210607428061819,C2,CONTROL
-0.57189828447896,C2,CONTROL
-0.171735893675074,C2,CONTROL
0.218010241716176,C2,CONTROL
0.0987237645837182,C2,CONTROL
0.239914089455093,C2,CONTROL
-0.0856096136421875,C2,CONTROL
-0.499658845711589,C2,CONTROL
-0.597937646230052,C2,CONTROL
0.20764305924633,C2,CONTROL
0.649159476458935,C2,CONTROL
-0.0398283281136302,C2,CONTROL
0.179092372191943,C2,CONTROL
-0.387663211907702,C2,CONTROL
0.113167279130342,C2,CONTROL
0.467016475747448,C2,CONTROL
0.333613561639449,C2,CONTROL
0.373594860211558,C2,CONTROL
0.440810954470451,C3,CONTROL
-0.154352472555546,C3,CONTROL
0.289505448236279,C3,CONTROL
0.437603217362219,C3,CONTROL
-0.0867360682446297,C3,CONTROL
-0.416565567907122,C3,CONTROL
0.0298067244795853,C3,CONTROL
-0.39110717605033,C3,CONTROL
-0.491148602222306,C3,CONTROL
-0.220072317109004,C3,CONTROL
0.329673339544319,C3,CONTROL
0.189448004644571,C3,CONTROL
0.210446197531441,C3,CONTROL
0.0614964507712447,C3,CONTROL
-0.0862801215390309,C3,CONTROL
-0.248001846949172,C3,CONTROL
-0.459297902659385,C3,CONTROL
-0.410131539899254,C3,CONTROL
-0.379735446527863,C3,CONTROL
0.167641951394849,C3,CONTROL
-0.431491115880387,C3,CONTROL
-0.027994989617907,C3,CONTROL
0.582911940903382,C3,CONTROL
-0.55415237195585,C3,CONTROL
-0.283259316443257,C3,CONTROL
0.157721486297991,C3,CONTROL
-0.184144108250544,C3,CONTROL
-0.151871319648656,C3,CONTROL
-0.49976652430526,C3,CONTROL
-0.171320808199427,C3,CONTROL
-0.110516229956987,C3,CONTROL
-0.394047748380668,C3,CONTROL
-0.176069558172041,C3,CONTROL
0.211917367970477,C3,CONTROL
0.361345177514781,C3,CONTROL
-0.487398658328657,C3,CONTROL
0.505374803643523,C3,CONTROL
-0.0166692701037448,C3,CONTROL
-0.503746865363593,C3,CONTROL
-0.259862249129622,C3,CONTROL
0.20824974563927,C3,CONTROL
0.0017825406264074,C3,CONTROL
0.192002330550499,C3,CONTROL
-0.0504950787845779,C3,CONTROL
-0.445041461846022,C3,CONTROL
-0.496449366736901,C3,CONTROL
0.0683757103845031,C3,CONTROL
0.557054271068975,C3,CONTROL
-0.120528446785815,C3,CONTROL
0.373701616641235,C3,CONTROL
-0.212178584768371,C3,CONTROL
0.323765552903247,C3,CONTROL
0.393994161246959,C3,CONTROL
0.169180099627027,C3,CONTROL
0.259831694386499,C3,CONTROL
0.110194707439829,C4,CONTROL
-0.517452573379985,C4,CONTROL
0.385119926896472,C4,CONTROL
0.840808688212281,C4,CONTROL
-0.265050385004809,C4,CONTROL
-0.67079076463414,C4,CONTROL
0.633707405893603,C4,CONTROL
-0.293898547592966,C4,CONTROL
-0.73118793547458,C4,CONTROL
0.167992826804282,C4,CONTROL
0.567668492724228,C4,CONTROL
0.087179682205884,C4,CONTROL
-0.0951549263357509,C4,CONTROL
0.387597934557506,C4,CONTROL
0.0592353051860944,C4,CONTROL
-0.36889861239457,C4,CONTROL
-0.380607118237544,C4,CONTROL
-0.207365072704213,C4,CONTROL
-0.565079470245296,C4,CONTROL
-0.00816804254776003,C4,CONTROL
-0.695460422054961,C4,CONTROL
0.301553848238187,C4,CONTROL
0.728142967488327,C4,CONTROL
-0.762323957302567,C4,CONTROL
-0.248567482897318,C4,CONTROL
0.447686257160222,C4,CONTROL
-0.436759714069235,C4,CONTROL
0.175867606082277,C4,CONTROL
-0.512255106895378,C4,CONTROL
